2019-02-19 12:58:01.235 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$QueryPageList
2019-02-19 12:58:01.235 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Update$Param
2019-02-19 12:58:01.236 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Create$Param
2019-02-19 12:58:01.236 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Update
2019-02-19 12:58:01.237 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Delete$Param
2019-02-19 12:58:01.237 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Get$Param
2019-02-19 12:58:01.237 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$Delete
2019-02-19 12:58:01.238 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingListResponse
2019-02-19 12:58:01.238 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingResponse
2019-02-19 12:58:01.238 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.client.api.pkg.ClientSettingRequest$ClientId
2019-02-19 12:58:01.244 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.console.api.pkg.ServiceInvokeStatRequest$ServiceInvokeRank
2019-02-19 12:58:01.244 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.console.api.pkg.ServiceInvokeStatResponse
2019-02-19 12:58:01.247 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserRequest$QueryPageList
2019-02-19 12:58:01.248 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserRequest$ForceOffline$Param
2019-02-19 12:58:01.248 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserListResponse
2019-02-19 12:58:01.248 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserNumberResponse
2019-02-19 12:58:01.249 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserRequest$QueryPageList$Param
2019-02-19 12:58:01.249 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.modules.session.api.pkg.OnlineUserRequest$ForceOffline
2019-02-19 12:58:01.258 [INFO ] com.apexsoft.aas.common.swagger.ApiScanner - 解析出models数量:51
2019-02-19 12:58:01.260 [INFO ] com.apexsoft.aas.common.swagger.ApiScanner - file:/Users/lowezheng/.m2/repository/com/apexsoft/aas-mobile/1.1.0-SNAPSHOT/aas-mobile-1.1.0-SNAPSHOT.jar!/com/apexsoft/aas/mobile/common/config/MobileSwaggerScanner.class
2019-02-19 12:58:01.260 [INFO ] com.apexsoft.aas.common.swagger.ApiScanner - /
2019-02-19 12:58:01.261 [INFO ] com.apexsoft.aas.util.ClassScanner - jar:/Users/lowezheng/.m2/repository/com/apexsoft/aas-mobile/1.1.0-SNAPSHOT/aas-mobile-1.1.0-SNAPSHOT.jar
2019-02-19 12:58:01.263 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.push.model.PushTerminal
2019-02-19 12:58:01.264 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.push.model.PushTag
2019-02-19 12:58:01.317 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongInformation
2019-02-19 12:58:01.318 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.WorkflowItem
2019-02-19 12:58:01.319 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppVersion
2019-02-19 12:58:01.319 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppClientLog
2019-02-19 12:58:01.320 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.ChannelRead
2019-02-19 12:58:01.320 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongInformationSummary
2019-02-19 12:58:01.321 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppPublish
2019-02-19 12:58:01.322 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DdUser
2019-02-19 12:58:01.323 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppUser
2019-02-19 12:58:01.323 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.MessageSummary
2019-02-19 12:58:01.324 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongCollect
2019-02-19 12:58:01.324 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongReceive
2019-02-19 12:58:01.325 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppManage
2019-02-19 12:58:01.326 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongComment
2019-02-19 12:58:01.327 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.ChannelMessage
2019-02-19 12:58:01.327 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.DongFile
2019-02-19 12:58:01.328 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppProduct
2019-02-19 12:58:01.329 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.ThirdAuth
2019-02-19 12:58:01.329 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.FeedBack
2019-02-19 12:58:01.330 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.ChannelUser
2019-02-19 12:58:01.330 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.model.AppCrash
2019-02-19 12:58:01.383 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$CommentAdd
2019-02-19 12:58:01.384 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelUserRequest$ChannelUserQueryList$Param
2019-02-19 12:58:01.384 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionRequest$QueryList$Param
2019-02-19 12:58:01.384 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ThirdAuthRequest$Auth
2019-02-19 12:58:01.384 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$QueryInformationList$Param
2019-02-19 12:58:01.385 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppCrashRequest$QueryList$Param
2019-02-19 12:58:01.385 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionResponse
2019-02-19 12:58:01.386 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionRequest$Create$Param
2019-02-19 12:58:01.386 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Update
2019-02-19 12:58:01.387 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$Update$Param
2019-02-19 12:58:01.387 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppCrashListResponse
2019-02-19 12:58:01.387 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$QueryList$Param
2019-02-19 12:58:01.387 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongInfoResponse
2019-02-19 12:58:01.388 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishListResponse
2019-02-19 12:58:01.388 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelUserRequest$Unsubscribe
2019-02-19 12:58:01.388 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$CommentAdd$Param
2019-02-19 12:58:01.389 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionRequest$Create
2019-02-19 12:58:01.389 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionRequest$Delete$Param
2019-02-19 12:58:01.389 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$QueryCommentList$Param
2019-02-19 12:58:01.390 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelRequest$ReadChannel$Param
2019-02-19 12:58:01.390 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelRequest$MessageGet$Param
2019-02-19 12:58:01.391 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$Update$Param
2019-02-19 12:58:01.391 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.OcrValidRequest
